City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,karpogory,64.0019,44.4451,22.91,98,100,3.24,RU,1676336144
327,novaya lyada,52.7131,41.6387,23.29,96,100,8.14,RU,1676336145
328,palmer,42.1584,-72.3287,40.51,73,75,3.44,US,1676336145
329,kisiwani,-4.1333,37.95,68.74,90,95,2.71,TZ,1676336146
330,cabadiangan,9.7531,122.4739,76.59,94,100,8.25,PH,1676336146
331,leningradskiy,69.3833,178.4167,-21.23,94,100,9.53,RU,1676335982
332,pevek,69.7008,170.3133,-36.33,100,100,6.62,RU,1676335646
333,ayan,56.45,138.1667,-8.88,68,87,13.94,RU,1676336146
334,tumut,-35.3,148.2167,80.06,37,27,4.25,AU,1676336147
335,portland,45.5234,-122.6762,42.62,89,100,7.0,US,1676335924
336,bela,25.9333,81.9833,48.24,44,0,5.39,IN,1676336147
337,magdagachi,53.45,125.8,-11.42,75,2,4.56,RU,1676336148
338,high level,58.5169,-117.136,3.31,85,75,12.66,CA,1676336113
339,yuanping,38.7153,112.7575,23.41,54,100,3.2,CN,1676336148
340,ilyich,40.8464,68.5067,36.52,72,100,6.24,KZ,1676336149
341,arlit,18.7369,7.3853,66.87,23,1,8.37,NE,1676336149
342,batticaloa,7.7102,81.6924,77.77,67,59,6.58,LK,1676336149
343,narsaq,60.9167,-46.05,8.82,89,94,0.74,GL,1676336150
344,ulaangom,49.9811,92.0667,-14.76,85,52,3.4,MN,1676336141
345,zhaotong,27.3167,103.7167,31.3,79,94,5.06,CN,1676336150
346,kodiak,57.79,-152.4072,24.31,50,0,3.44,US,1676335785
347,srednekolymsk,67.45,153.6833,-38.78,97,92,4.65,RU,1676335857
348,taoudenni,22.6783,-3.9836,68.85,25,100,17.47,ML,1676336151
349,nikolayevskaya,47.6139,41.5023,27.73,95,100,20.11,RU,1676336151
350,mahibadhoo,3.7833,72.9667,79.77,70,3,8.68,MV,1676336152
351,santa marta,11.2408,-74.199,82.89,69,20,17.27,CO,1676336006
352,torbay,47.6666,-52.7314,27.57,84,75,15.99,CA,1676336024
353,agirish,61.9247,63.0231,4.48,99,100,5.55,RU,1676335989
354,beloha,-25.1667,45.05,71.65,89,0,5.5,MG,1676336008
355,emerald,-23.5333,148.1667,91.35,42,0,6.78,AU,1676336152
356,mount gambier,-37.8333,140.7667,69.19,46,0,6.04,AU,1676335999
357,enid,36.3956,-97.8784,57.36,44,0,11.5,US,1676336153
358,bubaque,11.2833,-15.8333,75.49,77,22,7.11,GW,1676336153
359,marsh harbour,26.5412,-77.0636,68.65,66,36,11.9,BS,1676336154
360,shumerlya,55.5005,46.4129,16.14,91,100,7.38,RU,1676336154
361,chumikan,54.7183,135.315,-8.01,77,18,10.16,RU,1676336154
362,vredendal,-31.6683,18.5012,63.21,95,74,2.33,ZA,1676336155
363,sayyan,15.1718,44.3244,49.21,20,4,2.8,YE,1676336155
364,mandalgovi,45.7625,106.2708,13.6,42,100,6.26,MN,1676336155
